gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:36
deno;106.37%;0.28%;90.44MiB;31.18GiB;172MB;429MB;0B;176kB;9;21:06:39
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:39
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:39
deno;111.41%;0.28%;90.57MiB;31.18GiB;180MB;489MB;0B;176kB;9;21:06:42
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:42
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:42
deno;108.08%;0.28%;90.49MiB;31.18GiB;184MB;519MB;0B;176kB;9;21:06:45
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:45
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:45
deno;110.32%;0.28%;90.61MiB;31.18GiB;190MB;565MB;0B;176kB;9;21:06:48
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:48
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:48
deno;110.37%;0.28%;90.46MiB;31.18GiB;196MB;610MB;0B;176kB;9;21:06:51
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:51
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:51
deno;111.00%;0.28%;90.57MiB;31.18GiB;203MB;668MB;0B;176kB;9;21:06:54
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:54
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:54
deno;108.60%;0.28%;90.77MiB;31.18GiB;209MB;713MB;0B;176kB;9;21:06:57
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:57
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:57
deno;109.72%;0.28%;90.7MiB;31.18GiB;215MB;758MB;0B;176kB;9;21:07:00
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:00
